"Title";"Label";"Chart Position UK";"Chart Position US"
"Please Please Me";"Parlophone(UK)";1;NA
"With the Beatles";"Parlophone(UK)";1;NA
"Beatlemania! With the Beatles";"Capitol(CAN)";NA;NA
"Introducing... The Beatles";"Vee-Jay(US)";NA;2
"Meet the Beatles!";"Capitol(US)";NA;1
"Twist and Shout";"Capitol(CAN)";NA;NA
"The Beatles' Second Album";"Capitol(US)";NA;1
"The Beatles' Long Tall Sally";"Capitol(CAN)";NA;NA
"A Hard Day's Night";"United Artists(US)[C]";1;1
"Something New";"Capitol(US)";NA;2
"Beatles for Sale";"Parlophone(UK)";1;NA
"Beatles '65";"Capitol(US)";NA;1
"Beatles VI";"Parlophone(NZ)";NA;NA
"Help!";"Parlophone(UK)";1;1
"Rubber Soul";"Parlophone(UK)";1;1
"Yesterday and Today";"Capitol(US)";NA;1
"Revolver";"Parlophone(UK)";1;1
"Sgt. Pepper's Lonely Hearts Club Band";"Parlophone(UK)";NA;1
"Magical Mystery Tour";"Parlophone(UK)";NA;31
"The Beatles";"Apple(UK)";NA;1
"Yellow Submarine";"Apple(UK)";NA;3
"Abbey Road";"Apple(UK)";NA;1
"Let It Be";"Apple(UK)";NA;1
